---,Actor,Location,Rotation,Scale,Meshes
Row_11,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-15000.000000,Y=2325.000000,Z=255.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=19.000000,Z=5.000000)",""
Row_12,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-13200.000000,Y=375.000000,Z=255.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=21.000000,Z=5.000000)",""
Row_13,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-12900.000000,Y=-4375.000000,Z=255.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=24.000000,Z=5.000000)",""
Row_14,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-13750.000000,Y=-9775.000000,Z=405.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=77.375000,Z=11.750000)",""
Row_15,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-11150.000000,Y=-16275.000000,Z=805.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=4.375000,Y=32.625000,Z=11.750000)",""
Row_16,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-4200.000000,Y=-16675.000000,Z=1055.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=4.375000,Y=43.250000,Z=11.750000)",""
Row_17,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-150.000000,Y=-13725.000000,Z=605.000000)","(Pitch=0.000000,Yaw=-0.000000,Roll=0.000000)","(X=4.375000,Y=32.625000,Z=11.750000)",""
Row_18,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-4450.000000,Y=-10875.000000,Z=555.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=4.375000,Y=43.250000,Z=11.750000)",""
Row_19,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-4056.668365,Y=-15493.675930,Z=251.621543)","(Pitch=0.000000,Yaw=84.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_20,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11380.993344,Y=2183.195533,Z=210.000000)","(Pitch=0.000000,Yaw=104.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_21,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11412.417538,Y=2670.000000,Z=920.000000)","(Pitch=0.000000,Yaw=179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_22,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11430.261047,Y=2322.745039,Z=210.000000)","(Pitch=0.000000,Yaw=-55.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_23,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-15562.416593,Y=2966.124870,Z=210.000000)","(Pitch=0.000000,Yaw=-44.514893,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_24,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-10925.000000,Y=1680.000000,Z=870.000000)","(Pitch=0.000000,Yaw=9.111156,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_25,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12583.206880,Y=-13174.786487,Z=80.005762)","(Pitch=0.000000,Yaw=-49.185791,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_26,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12332.308057,Y=2449.986388,Z=210.000000)","(Pitch=0.000000,Yaw=-58.331726,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_27,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12346.565588,Y=244.771177,Z=210.000000)","(Pitch=0.000000,Yaw=96.843681,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_28,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-13801.855560,Y=5298.323431,Z=420.000000)","(Pitch=0.000000,Yaw=-5.660980,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_29,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-10240.878268,Y=2486.248586,Z=862.150004)","(Pitch=0.000000,Yaw=-83.869080,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_30,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-8860.000003,Y=-5331.054834,Z=200.000000)","(Pitch=0.000000,Yaw=-74.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_31,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12604.148152,Y=5566.470480,Z=424.219582)","(Pitch=0.000000,Yaw=-15.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_32,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-8500.000002,Y=-5331.054844,Z=200.000000)","(Pitch=0.000000,Yaw=-99.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_33,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11992.354192,Y=4785.802053,Z=420.000000)","(Pitch=0.000000,Yaw=2.720753,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_34,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-8449.999987,Y=-4563.374939,Z=209.280214)","(Pitch=0.000000,Yaw=-129.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_35,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12901.184954,Y=4497.144758,Z=419.219575)","(Pitch=0.000000,Yaw=10.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_36,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-14040.000015,Y=5220.000039,Z=406.000000)","(Pitch=0.000000,Yaw=249.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_37,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11387.473716,Y=-11918.336001,Z=39.864447)","(Pitch=0.000000,Yaw=-89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_38,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-9026.319711,Y=-4563.374918,Z=183.943613)","(Pitch=0.000000,Yaw=20.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_39,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-14344.999968,Y=7120.000047,Z=420.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_40,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-13766.796272,Y=7343.229734,Z=420.000000)","(Pitch=0.000000,Yaw=-165.178741,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_41,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-8929.165734,Y=-4529.336979,Z=196.443470)","(Pitch=0.000000,Yaw=219.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_42,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-13318.664975,Y=8105.057101,Z=419.219589)","(Pitch=0.000000,Yaw=264.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_43,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-15052.353973,Y=7761.776163,Z=420.000000)","(Pitch=0.000000,Yaw=145.880554,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_44,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12128.010830,Y=-3859.317058,Z=93.807468)","(Pitch=0.000000,Yaw=79.989197,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_45,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12298.717178,Y=-418.209951,Z=210.000000)","(Pitch=0.000000,Yaw=-132.171219,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_46,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-12077.432949,Y=-3537.980235,Z=85.468489)","(Pitch=0.000000,Yaw=89.427437,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_47,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-10396.759965,Y=2875.127129,Z=870.000000)","(Pitch=0.000000,Yaw=-103.954254,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_48,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11253.115212,Y=2558.723288,Z=920.000000)","(Pitch=0.000000,Yaw=82.523384,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_49,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy.BP_BarbarGuy_C',"(X=-11412.417538,Y=1525.000000,Z=920.000000)","(Pitch=0.000000,Yaw=179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_50,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarbarGuy_Spy.BP_BarbarGuy_Spy_C',"(X=-7710.830961,Y=-8224.856636,Z=-53.709255)","(Pitch=0.000000,Yaw=-80.220428,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Hats/hats_fbx_MageHat.hats_fbx_MageHat'',Materials=(MaterialInstanceConstant'""/Game/Materials/Hats/MI_MageHat""')))"
Row_51,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_BarGuy.BP_BarGuy_C',"(X=-15905.038013,Y=7474.128527,Z=420.000000)","(Pitch=0.000000,Yaw=-5.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_52,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorA.BP_DoorA_C',"(X=-11200.000038,Y=1949.999987,Z=200.000000)","(Pitch=0.000000,Yaw=-179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_53,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorA.BP_DoorA_C',"(X=-9073.187582,Y=-9834.608958,Z=-450.000000)","(Pitch=0.000000,Yaw=45.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_54,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorA.BP_DoorA_C',"(X=-11087.998709,Y=-10264.208308,Z=350.000000)","(Pitch=0.000000,Yaw=340.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_55,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorA.BP_DoorA_C',"(X=-12080.000038,Y=4244.999987,Z=300.000000)","(Pitch=0.000000,Yaw=-89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_56,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorA.BP_DoorA_C',"(X=-11055.000038,Y=1749.999987,Z=795.000000)","(Pitch=0.000000,Yaw=0.000001,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_57,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorA.BP_DoorA_C',"(X=-10350.000000,Y=-9460.000000,Z=750.000000)","(Pitch=0.000000,Yaw=-74.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_58,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-10755.000000,Y=-6930.000000,Z=100.000000)","(Pitch=-0.000000,Yaw=-89.999999,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_59,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-10755.000000,Y=-6420.000000,Z=100.000000)","(Pitch=-0.000000,Yaw=-89.999999,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_60,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-3137.995769,Y=-13257.652286,Z=-560.000000)","(Pitch=0.000000,Yaw=369.999997,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_61,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-14179.999987,Y=6345.000043,Z=390.000000)","(Pitch=0.000000,Yaw=-0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_62,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-9250.000000,Y=-6520.000000,Z=100.000000)","(Pitch=0.000000,Yaw=179.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_63,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-9923.431447,Y=-10310.883117,Z=350.000000)","(Pitch=0.000000,Yaw=179.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_64,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DoorB.BP_DoorB_C',"(X=-13144.999997,Y=-10085.000002,Z=-25.000000)","(Pitch=0.000000,Yaw=269.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Sign.Sign'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""',MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Other""')))"
Row_65,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/Mechanisms/BP_DrawBridge.BP_DrawBridge_C',"(X=-12135.000000,Y=-6900.000000,Z=20.000000)","(Pitch=0.000000,Yaw=179.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_66,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-11698.064731,Y=4504.270828,Z=420.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Models/Props/NewModels/Mug.Mug'',Materials=(MaterialInstanceConstant'""/Game/Models/Props/NewModels/Materials/MI_Wood""')))"
Row_67,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-12313.412605,Y=-15515.982958,Z=100.000000)","(Pitch=0.000000,Yaw=15.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_68,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-14280.247345,Y=3434.334875,Z=268.400287)","(Pitch=0.000000,Yaw=264.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_69,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-12000.824950,Y=-1057.542849,Z=200.000000)","(Pitch=0.000000,Yaw=-94.977783,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_70,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-12662.458434,Y=4517.651625,Z=426.000000)","(Pitch=0.000000,Yaw=169.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_71,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-11822.708000,Y=5031.867062,Z=420.000000)","(Pitch=0.000000,Yaw=-148.571899,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_72,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-14035.000021,Y=4975.000039,Z=421.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_73,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-14650.019507,Y=3012.625176,Z=210.000000)","(Pitch=0.000000,Yaw=-90.717010,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_74,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-14385.211174,Y=7224.638382,Z=420.000000)","(Pitch=0.000000,Yaw=4.427147,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_75,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-13668.688888,Y=7513.431413,Z=420.000000)","(Pitch=0.000000,Yaw=-179.430008,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_76,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-12774.999991,Y=6195.000008,Z=531.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_77,/Script/Engine.BlueprintGeneratedClass'/Game/Blueprints/NPC/BP_DrunkGuy.BP_DrunkGuy_C',"(X=-13309.999950,Y=7855.000021,Z=422.060265)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
